University,Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
Universitas Sam Ratulangi,1012,21201,Teknik Mesin,Aktif,S1,B,2019,23,369,01:16.0,teknik,
Universitas Sam Ratulangi,1012,41231,Teknologi Pangan,Aktif,S1,B,2019,10,268,01:26.8,pertanian,
Universitas Sam Ratulangi,1012,54204,Agronomi,Aktif,S1,C,2019,16,85,01:05.3,pertanian,
Universitas Sam Ratulangi,1012,54251,Kehutanan,Aktif,S1,C,2019,10,317,01:31.7,mipa,
Universitas Sam Ratulangi,1012,352045,Teknik Lingkungan,Aktif,S1,C,2019,6,153,01:25.5,teknik,
Universitas Sam Ratulangi,1012,41231,Teknologi Hasil Pertanian,Alih Bentuk,S1,C,2019,0,0,-,pertanian,
Universitas Sam Ratulangi,1012,57201,Sistem Informasi,Aktif,S1,Baik,2019,6,216,01:36.0,teknik,
Universitas Sam Ratulangi,1012,41221,Teknologi Pangan,Aktif,S1,-,2019,-,-,-,pertanian,
Universitas Tadulako,1028,62201,Akuntansi,Aktif,S1,A,2019,31,1573,01:50.7,ekonomi,
Universitas Tadulako,1028,82201,Antropologi,Aktif,S1,A,2019,13,520,01:40.0,humaniora,
Universitas Tadulako,1028,46201,Biologi,Aktif,S1,A,2019,17,433,01:25.5,mipa,
Universitas Tadulako,1028,47201,Kimia,Aktif,S1,A,2019,20,359,01:18.0,mipa,
Universitas Tadulako,1028,84203,Pendidikan Fisika,Aktif,S1,A,2019,23,399,01:17.3,pendidikan,
Universitas Tadulako,1028,84204,Pendidikan Kimia,Aktif,S1,A,2019,27,514,01:19.0,pendidikan,
Universitas Tadulako,1028,54201,Agribisnis,Aktif,S1,B,2019,40,1334,01:33.4,pertanian,
Universitas Tadulako,1028,54211,Agroteknologi,Aktif,S1,B,2019,70,1552,01:22.2,pertanian,
Universitas Tadulako,1028,54212,Agroteknologi (Kampus Kab. Morowali),Aktif,S1,B,2019,9,59,01:06.6,pertanian,
Universitas Tadulako,1028,54243,Akuakultur,Aktif,S1,B,2019,26,516,01:19.8,pertanian,
Universitas Tadulako,1028,23201,Arsitektur,Aktif,S1,B,2019,39,805,01:20.6,teknik,
Universitas Tadulako,1028,86201,Bimbingan Dan Konseling,Aktif,S1,B,2019,13,394,01:30.3,humaniora,
Universitas Tadulako,1028,60201,Ekonomi dan Pembangunan,Aktif,S1,B,2019,35,1273,01:36.4,ekonomi,
Universitas Tadulako,1028,48201,Farmasi,Aktif,S1,B,2019,32,1212,01:37.9,kesehatan,
Universitas Tadulako,1028,45201,Fisika,Aktif,S1,B,2019,16,317,01:19.8,mipa,
Universitas Tadulako,1028,63201,Ilmu Administrasi Publik,Aktif,S1,B,2019,38,875,01:23.0,sosial,
Universitas Tadulako,1028,74201,Ilmu Hukum,Aktif,S1,B,2019,109,3028,01:27.8,humaniora,
Universitas Tadulako,1028,70201,Ilmu Komunikasi,Aktif,S1,B,2019,27,850,01:31.5,sosial,
Universitas Tadulako,1028,65201,Ilmu Pemerintahan,Aktif,S1,B,2019,25,915,01:36.6,sosial,
Universitas Tadulako,1028,11201,Kedokteran,Aktif,S1,B,2019,40,417,01:10.4,kesehatan,
Universitas Tadulako,1028,54251,Kehutanan,Aktif,S1,B,2019,38,1411,01:37.1,mipa,
Universitas Tadulako,1028,13201,Kesehatan Masyarakat,Aktif,S1,B,2019,32,897,01:28.0,kesehatan,
Universitas Tadulako,1028,61201,Manajemen,Aktif,S1,B,2019,41,1788,01:43.6,ekonomi,
Universitas Tadulako,1028,61271,Manajemen (Kampus Kab.Morowali),Aktif,S1,B,2019,10,313,01:31.3,ekonomi,
Universitas Tadulako,1028,44201,Matematika,Aktif,S1,B,2019,12,404,01:33.7,mipa,
Universitas Tadulako,1028,88201,Pendidikan Bahasa Dan Sastra Indonesia,Aktif,S1,B,2019,17,691,01:40.7,pendidikan,
Universitas Tadulako,1028,88203,Pendidikan Bahasa Inggris,Aktif,S1,B,2019,34,980,01:28.8,pendidikan,
Universitas Tadulako,1028,84205,Pendidikan Biologi,Aktif,S1,B,2019,27,645,01:23.9,pendidikan,
Universitas Tadulako,1028,87202,Pendidikan Geografi,Aktif,S1,B,2019,15,482,01:32.1,pendidikan,
Universitas Tadulako,1028,86207,Pendidikan Guru Pendidikan Anak Usia Dini,Aktif,S1,B,2019,11,400,01:36.4,pendidikan,
Universitas Tadulako,1028,86206,Pendidikan Guru Sekolah Dasar,Aktif,S1,B,2019,27,1039,01:38.5,pendidikan,
Universitas Tadulako,1028,85201,"Pendidikan Jasmani, Kesehatan Dan Rekreasi",Aktif,S1,B,2019,28,898,01:32.1,pendidikan,
Universitas Tadulako,1028,84202,Pendidikan Matematika,Aktif,S1,B,2019,19,603,01:31.7,pendidikan,
Universitas Tadulako,1028,87205,Pendidikan Pancasila Dan Kewarganegaraan,Aktif,S1,B,2019,11,436,01:39.6,pendidikan,
Universitas Tadulako,1028,87201,Pendidikan Sejarah,Aktif,S1,B,2019,15,488,01:32.5,pendidikan,
Universitas Tadulako,1028,54231,Peternakan,Aktif,S1,B,2019,64,1143,01:17.9,pertanian,
Universitas Tadulako,1028,69201,Sosiologi,Aktif,S1,B,2019,31,885,01:28.5,sosial,
Universitas Tadulako,1028,49201,Statistika,Aktif,S1,B,2019,9,480,01:53.3,mipa,
Universitas Tadulako,1028,20201,Teknik Elektro,Aktif,S1,B,2019,15,447,01:29.8,teknik,
Universitas Tadulako,1028,21201,Teknik Mesin,Aktif,S1,B,2019,8,455,01:56.9,teknik,
Universitas Tadulako,1028,22201,Teknik Sipil,Aktif,S1,B,2019,50,1094,01:21.9,teknik,
Universitas Tadulako,1028,35201,Perencanaan Wilayah dan Kota,Aktif,S1,C,2019,12,602,01:50.2,teknik,
Universitas Tadulako,1028,34201,Teknik Geologi,Aktif,S1,C,2019,19,343,01:18.0,teknik,
Universitas Tadulako,1028,55202,Teknik Informatika,Aktif,S1,C,2019,19,848,01:44.6,teknik,
Universitas Tadulako,1028,54213,Agroteknologi Kampus Kab. Tojo Una-una,Aktif,S1,Baik,2019,8,98,01:12.2,pertanian,
Universitas Tadulako,1028,13211,Gizi,Aktif,S1,-,2019,11,191,01:17.4,kesehatan,
Universitas Tadulako,1028,61272,Manajemen Kampus Kab. Tojo Una-una,Aktif,S1,Baik,2019,8,244,01:30.5,ekonomi,
Universitas Tadulako,1028,88273,PSKGJ Pendidikan Bahasa Inggris,Tutup,S1,-,2019,0,0,-,pendidikan,
Universitas Tadulako,1028,88271,PSKGJ Pendidikan Bahasa Sastra Indonesia dan Daerah,Tutup,S1,-,2019,0,0,-,pendidikan,
Universitas Tadulako,1028,84275,PSKGJ Pendidikan Biologi,Tutup,S1,-,2019,0,0,-,pendidikan,
Universitas Tadulako,1028,84273,PSKGJ Pendidikan Fisika,Tutup,S1,-,2019,0,0,-,pendidikan,
Universitas Tadulako,1028,86276,PSKGJ Pendidikan Guru Sekolah Dasar(PGSD),Tutup,S1,-,2019,0,0,-,pendidikan,
Universitas Tadulako,1028,84274,PSKGJ Pendidikan Kimia,Tutup,S1,-,2019,0,0,-,pendidikan,
Universitas Tadulako,1028,84272,PSKGJ Pendidikan Matematika,Tutup,S1,-,2019,0,0,-,pendidikan,
Universitas Tadulako,1028,87275,PSKGJ Pendidikan Pancasila dan Kewarganegaraan,Tutup,S1,-,2019,0,0,-,pendidikan,
Universitas Tadulako,1028,87271,PSKGJ Pendidikan Sejarah,Tutup,S1,-,2019,0,0,-,pendidikan,
Universitas Tadulako,1028,57201,Sistem Informasi,Aktif,S1,-,2019,-,-,-,teknik,
Universitas Tadulako,1028,33201,Teknik Geofisika,Aktif,S1,Baik,2019,7,149,01:21.3,teknik,
Universitas Tadulako,1028,352045,Teknik Lingkungan,Aktif,S1,-,2019,0,27,-,teknik,
Universitas Tadulako,1028,22211,Teknik Sipil (Kampus Kab. Morowali),Aktif,S1,Baik,2019,7,49,01:07.0,teknik,
Universitas Tadulako,1028,22212,Teknik Sipil Kampus Kab Tojo Una-una,Aktif,S1,Baik,2019,6,36,01:06.0,teknik,
Universitas Indonesia,1002,62201,Akuntansi,Aktif,S1,A,2019,53,1139,01:21.5,ekonomi,
Universitas Indonesia,1002,82201,Antropologi Sosial,Aktif,S1,A,2019,9,0,-,humaniora,
Universitas Indonesia,1002,81201,Arkeologi,Aktif,S1,A,2019,5,204,01:40.8,humaniora,
Universitas Indonesia,1002,23201,Arsitektur,Aktif,S1,A,2019,7,409,01:58.4,teknik,
Universitas Indonesia,1002,90221,Arsitektur Interior,Aktif,S1,A,2019,5,188,01:37.6,teknik,
Universitas Indonesia,1002,79210,Bahasa Dan Kebudayaan Korea,Aktif,S1,A,2019,9,189,01:21.0,humaniora,
Universitas Indonesia,1002,46201,Biologi,Aktif,S1,A,2019,21,538,01:25.6,mipa,
Universitas Indonesia,1002,60202,Ekonomi Islam,Aktif,S1,A,2019,9,164,01:18.2,ekonomi,
Universitas Indonesia,1002,48201,Farmasi,Aktif,S1,A,2019,13,204,01:15.7,kesehatan,
Universitas Indonesia,1002,45201,Fisika,Aktif,S1,A,2019,14,549,01:39.2,mipa,
Universitas Indonesia,1002,51201,Geografi,Aktif,S1,A,2019,11,550,01:50.0,mipa,
Universitas Indonesia,1002,13211,Gizi,Aktif,S1,A,2019,8,1,01:00.1,kesehatan,
Universitas Indonesia,1002,63221,Ilmu Administrasi Fiskal,Aktif,S1,A,2019,13,159,01:12.2,ekonomi,
Universitas Indonesia,1002,63201,Ilmu Administrasi Negara,Aktif,S1,A,2019,16,176,01:11.0,sosial,
Universitas Indonesia,1002,63211,Ilmu Administrasi Niaga,Aktif,S1,A,2019,12,120,01:10.0,sosial,
Universitas Indonesia,1002,60201,Ilmu Ekonomi,Aktif,S1,A,2019,31,528,01:17.0,ekonomi,
Universitas Indonesia,1002,75201,Ilmu Filsafat,Aktif,S1,A,2019,7,169,01:24.1,humaniora,
Universitas Indonesia,1002,64201,Ilmu Hubungan Internasional,Aktif,S1,A,2019,8,0,-,sosial,
Universitas Indonesia,1002,74201,Ilmu Hukum,Aktif,S1,A,2019,72,1864,01:25.9,humaniora,
Universitas Indonesia,1002,14201,Ilmu Keperawatan,Aktif,S1,A,2019,21,68,01:03.2,kesehatan,
Universitas Indonesia,1002,72201,Ilmu Kesejahteraan Sosial,Aktif,S1,A,2019,10,0,-,sosial,
Universitas Indonesia,1002,55201,Ilmu Komputer,Aktif,S1,A,2019,19,288,01:15.2,teknik,
Universitas Indonesia,1002,70201,Ilmu Komunikasi,Aktif,S1,A,2019,14,626,01:44.7,sosial,
Universitas Indonesia,1002,71201,Ilmu Perpustakaan,Aktif,S1,A,2019,10,237,01:23.7,humaniora,
Universitas Indonesia,1002,67201,Ilmu Politik,Aktif,S1,A,2019,15,12,01:00.8,humaniora,
Universitas Indonesia,1002,80201,Ilmu Sejarah,Aktif,S1,A,2019,7,184,01:26.3,humaniora,
Universitas Indonesia,1002,13201,Kesehatan Masyarakat,Aktif,S1,A,2019,27,240,01:08.9,kesehatan,
Universitas Indonesia,1002,66201,Kriminologi,Aktif,S1,A,2019,9,6,01:00.7,sosial,
Universitas Indonesia,1002,61201,Manajemen,Aktif,S1,A,2019,44,1243,01:28.3,ekonomi,
Universitas Indonesia,1002,44201,Matematika,Aktif,S1,A,2019,12,404,01:33.7,mipa,
Universitas Indonesia,1002,11201,Pendidikan Dokter,Aktif,S1,A,2019,107,826,01:07.7,kesehatan,
Universitas Indonesia,1002,12201,Pendidikan Dokter Gigi,Aktif,S1,A,2019,17,381,01:22.4,kesehatan,
Universitas Indonesia,1002,73201,Psikologi,Aktif,S1,A,2019,52,1275,01:24.5,humaniora,
Universitas Indonesia,1002,79203,Sastra Arab,Aktif,S1,A,2019,6,213,01:35.5,humaniora,
Universitas Indonesia,1002,79208,Sastra Belanda,Aktif,S1,A,2019,12,210,01:17.5,humaniora,
Universitas Indonesia,1002,79209,Sastra Cina,Aktif,S1,A,2019,12,204,01:17.0,humaniora,
Universitas Indonesia,1002,79201,Sastra Indonesia,Aktif,S1,A,2019,13,201,01:15.5,humaniora,
Universitas Indonesia,1002,79202,Sastra Inggris,Aktif,S1,A,2019,17,216,01:12.7,humaniora,
Universitas Indonesia,1002,79211,Sastra Jawa,Aktif,S1,A,2019,11,160,01:14.6,humaniora,
Universitas Indonesia,1002,79204,Sastra Jepang,Aktif,S1,A,2019,12,211,01:17.6,humaniora,
Universitas Indonesia,1002,79206,Sastra Jerman,Aktif,S1,A,2019,8,209,01:26.1,humaniora,
Universitas Indonesia,1002,79205,Sastra Perancis,Aktif,S1,A,2019,6,194,01:32.3,humaniora,
Universitas Indonesia,1002,79207,Sastra Rusia,Aktif,S1,A,2019,10,157,01:15.7,humaniora,
Universitas Indonesia,1002,57201,Sistem Informasi,Aktif,S1,A,2019,16,212,01:13.3,teknik,
Universitas Indonesia,1002,69201,Sosiologi,Aktif,S1,A,2019,20,0,-,sosial,
Universitas Indonesia,1002,20201,Teknik Elektro,Aktif,S1,A,2019,13,568,01:43.7,teknik,
Universitas Indonesia,1002,26201,Teknik Industri,Aktif,S1,A,2019,13,589,01:45.3,teknik,
Universitas Indonesia,1002,24201,Teknik Kimia,Aktif,S1,A,2019,12,545,01:45.4,teknik,
Universitas Indonesia,1002,21201,Teknik Mesin,Aktif,S1,A,2019,14,566,01:40.4,teknik,
Universitas Indonesia,1002,36201,Teknik Perkapalan,Aktif,S1,A,2019,8,195,01:24.4,teknik,
Universitas Indonesia,1002,25202,Teknologi Bioproses,Aktif,S1,A,2019,8,206,01:25.8,teknik,
Universitas Indonesia,1002,60203,Bisnis Islam,Aktif,S1,B,2019,8,171,01:21.4,ekonomi,
Universitas Indonesia,1002,33201,Geofisika,Aktif,S1,B,2019,7,307,01:43.9,mipa,
Universitas Indonesia,1002,34201,Geologi,Aktif,S1,B,2019,10,314,01:31.4,mipa,
Universitas Indonesia,1002,94203,Ilmu Aktuaria,Aktif,S1,B,2019,8,1,01:00.1,mipa,
Universitas Indonesia,1002,13251,Kesehatan Lingkungan,Aktif,S1,B,2019,3,0,-,kesehatan,
Universitas Indonesia,1002,13241,Keselamatan dan Kesehatan Kerja,Aktif,S1,B,2019,6,0,-,kesehatan,
Universitas Indonesia,1002,49201,Statistika,Aktif,S1,B,2019,7,248,01:35.4,mipa,
Universitas Indonesia,1002,47201,Kimia,Aktif,S1,Unggul,2019,16,525,01:32.8,mipa,
Universitas Indonesia,1002,11410,Teknik Biomedik,Aktif,S1,Baik,2019,6,1,01:00.2,teknik,
Universitas Indonesia,1002,56201,Teknik Komputer,Aktif,S1,Unggul,2019,7,308,01:44.0,teknik,
Universitas Indonesia,1002,25201,Teknik Lingkungan,Aktif,S1,Unggul,2019,8,286,01:35.7,teknik,
Universitas Indonesia,1002,27201,Teknik Metalurgi dan Material,Aktif,S1,Unggul,2019,12,545,01:45.4,teknik,
Universitas Indonesia,1002,22201,Teknik Sipil,Aktif,S1,Unggul,2019,20,547,01:27.3,teknik,
Institut Teknologi Bandung,2001,90221,Desain Interior,Aktif,S1,A,2019,21,229,01:10.9,seni,
Institut Teknologi Bandung,2001,90241,Desain Komunikasi Visual,Aktif,S1,A,2019,18,284,01:15.8,seni,
Institut Teknologi Bandung,2001,90231,Desain Produk,Aktif,S1,A,2019,18,241,01:13.4,seni,
Institut Teknologi Bandung,2001,48202,Farmasi Klinik Dan Komunitas,Aktif,S1,A,2019,16,218,01:13.6,kesehatan,
Institut Teknologi Bandung,2001,94202,Kewirausahaan,Aktif,S1,A,2019,13,264,01:20.3,ekonomi,
Institut Teknologi Bandung,2001,90211,Kriya,Aktif,S1,A,2019,17,244,01:14.4,seni,
Institut Teknologi Bandung,2001,61201,Manajemen,Aktif,S1,A,2019,16,964,02:00.2,ekonomi,
Institut Teknologi Bandung,2001,33202,Meteorologi,Aktif,S1,A,2019,13,187,01:14.4,mipa,
Institut Teknologi Bandung,2001,54241,Oseanografi,Aktif,S1,A,2019,12,196,01:16.3,teknik,
Institut Teknologi Bandung,2001,46203,Rekayasa Hayati,Aktif,S1,A,2019,6,171,01:28.5,mipa,
Institut Teknologi Bandung,2001,54211,Rekayasa Pertanian,Aktif,S1,A,2019,15,242,01:16.1,pertanian,
Institut Teknologi Bandung,2001,48201,Sains Dan Teknologi Farmasi,Aktif,S1,A,2019,29,459,01:15.8,kesehatan,
Institut Teknologi Bandung,2001,90201,Seni Rupa,Aktif,S1,A,2019,38,199,01:05.2,seni,
Institut Teknologi Bandung,2001,11410,Teknik Biomedis,Aktif,S1,A,2019,9,134,01:14.9,teknik,
Institut Teknologi Bandung,2001,22104,Rekayasa Infrastruktur Lingkungan,Aktif,S1,B,2019,10,121,01:12.1,teknik,
Institut Teknologi Bandung,2001,54251,Rekayasa Kehutanan,Aktif,S1,B,2019,13,208,01:16.0,teknik,
Institut Teknologi Bandung,2001,21012,Teknik Bioenergi dan Kemurgi,Aktif,S1,B,2019,8,144,01:18.0,teknik,
Institut Teknologi Bandung,2001,54244,Teknik dan Pengelolaan Sumber Daya Air,Aktif,S1,B,2019,7,179,01:25.6,teknik,
Institut Teknologi Bandung,2001,41221,Teknik Pangan,Aktif,S1,B,2019,6,169,01:28.2,teknik,
Institut Teknologi Bandung,2001,41231,Teknologi Pasca Panen,Aktif,S1,B,2019,11,140,01:12.7,pertanian,
Institut Teknologi Bandung,2001,94203,Aktuaria,Aktif,S1,-,2019,0,101,-,mipa,
Institut Teknologi Bandung,2001,23201,Arsitektur,Aktif,S1,Unggul,2019,31,382,01:12.3,teknik,
Institut Teknologi Bandung,2001,50201,Astronomi,Aktif,S1,Unggul,2019,9,209,01:23.2,teknik,
Institut Teknologi Bandung,2001,46201,Biologi,Aktif,S1,Unggul,2019,23,350,01:15.2,mipa,
Institut Teknologi Bandung,2001,45201,Fisika,Aktif,S1,Unggul,2019,44,511,01:11.6,mipa,
Institut Teknologi Bandung,2001,47201,Kimia,Aktif,S1,Unggul,2019,36,442,01:12.3,mipa,
Institut Teknologi Bandung,2001,26202,Manajemen Rekayasa Industri,Aktif,S1,Unggul,2019,8,231,01:28.9,teknik,
Institut Teknologi Bandung,2001,44201,Matematika,Aktif,S1,Unggul,2019,45,477,01:10.6,mipa,
Institut Teknologi Bandung,2001,46202,Mikrobiologi,Aktif,S1,Unggul,2019,15,175,01:11.7,mipa,
Institut Teknologi Bandung,2001,35201,Perencanaan Wilayah Dan Kota,Aktif,S1,Unggul,2019,33,597,01:18.1,teknik,
Institut Teknologi Bandung,2001,59201,Sistem dan Teknologi Informasi,Aktif,S1,Unggul,2019,12,296,01:24.7,teknik,
Institut Teknologi Bandung,2001,40201,Teknik Dirgantara,Aktif,S1,Unggul,2019,21,414,01:19.7,teknik,
Institut Teknologi Bandung,2001,20201,Teknik Elektro,Aktif,S1,Unggul,2019,39,412,01:10.6,teknik,
Institut Teknologi Bandung,2001,30201,Teknik Fisika,Aktif,S1,Unggul,2019,18,368,01:20.4,teknik,
Institut Teknologi Bandung,2001,29201,Teknik Geodesi Dan Geomatika,Aktif,S1,Unggul,2019,24,431,01:18.0,teknik,
Institut Teknologi Bandung,2001,33201,Teknik Geofisika,Aktif,S1,Unggul,2019,19,335,01:17.6,teknik,
Institut Teknologi Bandung,2001,34201,Teknik Geologi,Aktif,S1,Unggul,2019,18,371,01:20.6,teknik,
Institut Teknologi Bandung,2001,26201,Teknik Industri,Aktif,S1,Unggul,2019,25,629,01:25.2,teknik,
Institut Teknologi Bandung,2001,55201,Teknik Informatika,Aktif,S1,Unggul,2019,30,730,01:24.3,teknik,
Institut Teknologi Bandung,2001,38201,Teknik Kelautan,Aktif,S1,Unggul,2019,15,359,01:23.9,teknik,
Institut Teknologi Bandung,2001,24201,Teknik Kimia,Aktif,S1,Unggul,2019,19,498,01:26.2,teknik,
Institut Teknologi Bandung,2001,25201,Teknik Lingkungan,Aktif,S1,Unggul,2019,23,447,01:19.4,teknik,
Institut Teknologi Bandung,2001,28201,Teknik Material,Aktif,S1,Unggul,2019,10,293,01:29.3,teknik,
Institut Teknologi Bandung,2001,21201,Teknik Mesin,Aktif,S1,Unggul,2019,33,846,01:25.6,teknik,
Institut Teknologi Bandung,2001,27201,Teknik Metalurgi,Aktif,S1,Unggul,2019,10,302,01:30.2,teknik,
Institut Teknologi Bandung,2001,32201,Teknik Perminyakan,Aktif,S1,Unggul,2019,7,402,01:57.4,teknik,
Institut Teknologi Bandung,2001,31201,Teknik Pertambangan,Aktif,S1,Unggul,2019,12,383,01:31.9,teknik,
Institut Teknologi Bandung,2001,22201,Teknik Sipil,Aktif,S1,Unggul,2019,38,653,01:17.2,teknik,
Institut Teknologi Bandung,2001,20202,Teknik Telekomunikasi,Aktif,S1,Unggul,2019,14,157,01:11.2,teknik,
Institut Teknologi Bandung,2001,20203,Teknik Tenaga Listrik,Aktif,S1,Unggul,2019,8,157,01:19.6,teknik,
Universitas Brawijaya,1019,63211,Administrasi Bisnis,Aktif,S1,A,2019,40,2129,01:53.2,ekonomi,
Universitas Brawijaya,1019,63201,Administrasi Publik,Aktif,S1,A,2019,38,1503,01:39.6,sosial,
Universitas Brawijaya,1019,54201,Agribisnis,Aktif,S1,A,2019,39,1670,01:42.8,pertanian,
Universitas Brawijaya,1019,54245,Agrobisnis Perikanan,Aktif,S1,A,2019,10,658,02:05.8,pertanian,
Universitas Brawijaya,1019,54211,Agroekoteknologi,Aktif,S1,A,2019,77,2845,01:37.0,pertanian,
Universitas Brawijaya,1019,62201,Akuntansi,Aktif,S1,A,2019,33,1174,01:35.6,ekonomi,
Universitas Brawijaya,1019,23201,Arsitektur,Aktif,S1,A,2019,22,599,01:27.2,teknik,
Universitas Brawijaya,1019,46201,Biologi,Aktif,S1,A,2019,15,475,01:31.7,mipa,
Universitas Brawijaya,1019,54207,Bioteknologi,Aktif,S1,A,2019,8,369,01:46.1,mipa,
Universitas Brawijaya,1019,54243,Budidaya Perairan,Aktif,S1,A,2019,16,568,01:35.5,pertanian,
Universitas Brawijaya,1019,60202,Ekonomi Islam,Aktif,S1,A,2019,14,567,01:40.5,ekonomi,
Universitas Brawijaya,1019,60201,Ekonomi Pembangunan,Aktif,S1,A,2019,16,682,01:42.6,ekonomi,
Universitas Brawijaya,1019,61206,"Ekonomi, Keuangan dan Perbankan",Aktif,S1,A,2019,7,485,02:09.3,ekonomi,
Universitas Brawijaya,1019,45201,Fisika,Aktif,S1,A,2019,8,381,01:47.6,mipa,
Universitas Brawijaya,1019,41231,Ilmu dan Teknologi Pangan,Aktif,S1,A,2019,20,624,01:31.2,pertanian,
Universitas Brawijaya,1019,13211,Ilmu Gizi,Aktif,S1,A,2019,18,419,01:23.3,kesehatan,
Universitas Brawijaya,1019,74201,Ilmu Hukum,Aktif,S1,A,2019,58,3064,01:52.8,humaniora,
Universitas Brawijaya,1019,54241,Ilmu Kelautan,Aktif,S1,A,2019,17,641,01:37.7,teknik,
Universitas Brawijaya,1019,14201,Ilmu Keperawatan,Aktif,S1,A,2019,20,380,01:19.0,kesehatan,
Universitas Brawijaya,1019,70201,Ilmu Komunikasi,Aktif,S1,A,2019,33,1198,01:36.3,sosial,
Universitas Brawijaya,1019,65201,Ilmu Pemerintahan,Aktif,S1,A,2019,17,719,01:42.3,sosial,
Universitas Brawijaya,1019,71201,Ilmu Perpustakaan,Aktif,S1,A,2019,7,239,01:34.1,humaniora,
Universitas Brawijaya,1019,15201,Kebidanan,Aktif,S1,A,2019,12,312,01:26.0,kesehatan,
Universitas Brawijaya,1019,11201,Kedokteran,Aktif,S1,A,2019,104,952,01:09.1,kesehatan,
Universitas Brawijaya,1019,47201,Kimia,Aktif,S1,A,2019,20,524,01:26.2,mipa,
Universitas Brawijaya,1019,61201,Manajemen,Aktif,S1,A,2019,28,1196,01:42.7,ekonomi,
Universitas Brawijaya,1019,54242,Manajemen Sumber Daya Perairan,Aktif,S1,A,2019,13,581,01:44.7,teknik,
Universitas Brawijaya,1019,44201,Matematika,Aktif,S1,A,2019,17,503,01:29.6,mipa,
Universitas Brawijaya,1019,93202,Pariwisata,Aktif,S1,A,2019,6,287,01:47.8,sosial,
Universitas Brawijaya,1019,54246,Pemanfaatan Sumber Daya Perikanan,Aktif,S1,A,2019,17,600,01:35.3,pertanian,
Universitas Brawijaya,1019,83207,Pendidikan Teknologi Informasi,Aktif,S1,A,2019,11,298,01:27.1,pendidikan,
Universitas Brawijaya,1019,35201,Perencanaan Wilayah Dan Kota,Aktif,S1,A,2019,25,642,01:25.7,teknik,
Universitas Brawijaya,1019,63221,Perpajakan,Aktif,S1,A,2019,13,675,01:51.9,ekonomi,
Universitas Brawijaya,1019,54231,Peternakan,Aktif,S1,A,2019,64,2894,01:45.2,pertanian,
Universitas Brawijaya,1019,79202,Sastra Inggris,Aktif,S1,A,2019,29,546,01:18.8,humaniora,
Universitas Brawijaya,1019,79204,Sastra Jepang,Aktif,S1,A,2019,12,485,01:40.4,humaniora,
Universitas Brawijaya,1019,57201,Sistem Informasi,Aktif,S1,A,2019,15,920,02:01.3,teknik,
Universitas Brawijaya,1019,69201,Sosiologi,Aktif,S1,A,2019,21,718,01:34.2,sosial,
Universitas Brawijaya,1019,49201,Statistika,Aktif,S1,A,2019,13,535,01:41.2,mipa,
Universitas Brawijaya,1019,26201,Teknik Industri,Aktif,S1,A,2019,35,780,01:22.3,teknik,
Universitas Brawijaya,1019,25201,Teknik Lingkungan,Aktif,S1,A,2019,13,451,01:34.7,teknik,
Universitas Brawijaya,1019,21201,Teknik Mesin,Aktif,S1,A,2019,23,643,01:28.0,teknik,
Universitas Brawijaya,1019,22202,Teknik Pengairan,Aktif,S1,A,2019,24,614,01:25.6,teknik,
Universitas Brawijaya,1019,41201,Teknik Pertanian,Aktif,S1,A,2019,11,592,01:53.8,teknik,
Universitas Brawijaya,1019,22201,Teknik Sipil,Aktif,S1,A,2019,27,563,01:20.9,teknik,
Universitas Brawijaya,1019,54244,Teknologi Hasil Perikanan,Aktif,S1,A,2019,18,612,01:34.0,pertanian,
Universitas Brawijaya,1019,41211,Teknologi Industri Pertanian,Aktif,S1,A,2019,27,991,01:36.7,pertanian,
Universitas Brawijaya,1019,86204,Administrasi Pendidikan,Aktif,S1,B,2019,6,212,01:35.3,sosial,
Universitas Brawijaya,1019,82201,Antropologi,Aktif,S1,B,2019,10,250,01:25.0,humaniora,
Universitas Brawijaya,1019,79205,Bahasa dan Sastra Prancis,Aktif,S1,B,2019,9,232,01:25.8,humaniora,
Universitas Brawijaya,1019,48201,Farmasi,Aktif,S1,B,2019,11,374,01:34.0,kesehatan,
Universitas Brawijaya,1019,64201,Hubungan Internasional,Aktif,S1,B,2019,25,1063,01:42.5,sosial,
Universitas Brawijaya,1019,67201,Ilmu Politik,Aktif,S1,B,2019,20,751,01:37.6,humaniora,
Universitas Brawijaya,1019,30202,Instrumentasi,Aktif,S1,B,2019,7,211,01:30.1,teknik,
Universitas Brawijaya,1019,94202,Kewirausahaan,Aktif,S1,B,2019,6,242,01:40.3,ekonomi,
Universitas Brawijaya,1019,88203,Pendidikan Bahasa Inggris,Aktif,S1,B,2019,19,577,01:30.4,pendidikan,
Universitas Brawijaya,1019,88201,Pendidikan Bahasa Dan Sastra Indonesia,Aktif,S1,B,2019,14,331,01:23.6,pendidikan,
Universitas Brawijaya,1019,88205,Pendidikan Bahasa Jepang,Aktif,S1,B,2019,8,261,01:32.6,pendidikan,
Universitas Brawijaya,1019,12201,Pendidikan Dokter Gigi,Aktif,S1,B,2019,33,388,01:11.8,kesehatan,
Universitas Brawijaya,1019,54261,Pendidikan Dokter Hewan,Aktif,S1,B,2019,31,717,01:23.1,kesehatan,
