University,Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
Universitas Gadjah Mada,1001,54231,Ilmu dan Industri Peternakan,Aktif,S1,Unggul,2019,46,1082,01:23.5,mipa,
Universitas Gadjah Mada,1001,51211,Kartografi dan Penginderaan Jauh,Aktif,S1,Unggul,2019,12,296,01:24.7,mipa,
Universitas Gadjah Mada,1001,54298,Penyuluhan dan Komunikasi Pertanian,Aktif,S1,-,2019,10,132,01:13.2,mipa,
Universitas Airlangga,1004,62201,Akuntansi,Aktif,S1,A,2019,27,1199,01:44.4,ekonomi,
Universitas Airlangga,1004,82201,Antropologi,Aktif,S1,A,2019,12,414,01:34.5,humaniora,
Universitas Airlangga,1004,79201,Bahasa dan Sastra Indonesia,Aktif,S1,A,2019,16,656,01:41.0,humaniora,
Universitas Airlangga,1004,79202,Bahasa dan Sastra Inggris,Aktif,S1,A,2019,26,724,01:27.9,humaniora,
Universitas Airlangga,1004,60202,Ekonomi Islam,Aktif,S1,A,2019,16,848,01:53.0,ekonomi,
Universitas Airlangga,1004,60201,Ekonomi Pembangunan,Aktif,S1,A,2019,15,794,01:52.9,ekonomi,
Universitas Airlangga,1004,48201,Farmasi,Aktif,S1,A,2019,63,912,01:14.5,kesehatan,
Universitas Airlangga,1004,13211,Gizi,Aktif,S1,A,2019,8,368,01:46.0,kesehatan,
Universitas Airlangga,1004,63201,Ilmu Administrasi Negara,Aktif,S1,A,2019,7,461,02:05.9,sosial,
Universitas Airlangga,1004,64201,Ilmu Hubungan Internasional,Aktif,S1,A,2019,11,434,01:39.5,sosial,
Universitas Airlangga,1004,71201,Ilmu Informasi dan Perpustakaan,Tutup,S1,A,2019,0,0,-,sosial,
Universitas Airlangga,1004,70201,Ilmu Komunikasi,Aktif,S1,A,2019,12,442,01:36.8,sosial,
Universitas Airlangga,1004,67201,Ilmu Politik,Aktif,S1,A,2019,9,432,01:48.0,humaniora,
Universitas Airlangga,1004,80201,Ilmu Sejarah,Aktif,S1,A,2019,15,429,01:28.6,humaniora,
Universitas Airlangga,1004,15201,Kebidanan,Aktif,S1,A,2019,14,273,01:19.5,kesehatan,
Universitas Airlangga,1004,11201,Kedokteran,Aktif,S1,A,2019,48,876,01:18.3,kesehatan,
Universitas Airlangga,1004,12201,Kedokteran Gigi,Aktif,S1,A,2019,54,502,01:09.3,kesehatan,
Universitas Airlangga,1004,54261,Kedokteran Hewan,Aktif,S1,A,2019,41,1042,01:25.4,kesehatan,
Universitas Airlangga,1004,14201,Keperawatan,Aktif,S1,A,2019,27,693,01:25.7,kesehatan,
Universitas Airlangga,1004,13201,Kesehatan Masyarakat,Aktif,S1,A,2019,53,1020,01:19.3,kesehatan,
Universitas Airlangga,1004,61201,Manajemen,Aktif,S1,A,2019,17,1329,02:18.2,ekonomi,
Universitas Airlangga,1004,57201,Sistem Informasi,Aktif,S1,A,2019,10,273,01:27.3,teknik,
Universitas Airlangga,1004,69201,Sosiologi,Aktif,S1,A,2019,8,421,01:52.6,sosial,
Universitas Airlangga,1004,49201,Statistika,Aktif,S1,A,2019,9,251,01:27.9,mipa,
Universitas Airlangga,1004,79204,Studi Kejepangan,Aktif,S1,A,2019,11,299,01:27.2,humaniora,
Universitas Airlangga,1004,11410,Teknik Biomedis,Aktif,S1,A,2019,8,229,01:28.6,teknik,
Universitas Airlangga,1004,25201,Teknik Lingkungan,Aktif,S1,A,2019,7,246,01:35.1,teknik,
Universitas Airlangga,1004,54253,Akuakultur K. Banyuwangi,Aktif,S1,B,2019,8,155,01:19.4,pertanian,
Universitas Airlangga,1004,62102,Akuntansi K. Banyuwangi,Aktif,S1,B,2019,7,166,01:23.7,pertanian,
Universitas Airlangga,1004,71202,Ilmu Informasi dan Perpustakaan,Aktif,S1,B,2019,12,405,01:33.8,sosial,
Universitas Airlangga,1004,54262,Kedokteran Hewan K. Banyuwangi,Aktif,S1,B,2019,14,179,01:12.8,kesehatan,
Universitas Airlangga,1004,13202,Kesehatan Masyarakat K. Banyuwangi,Aktif,S1,B,2019,9,170,01:18.9,kesehatan,
Universitas Airlangga,1004,54249,Teknologi Hasil Perikanan,Aktif,S1,B,2019,11,371,01:33.7,pertanian,
Universitas Airlangga,1004,54243,Akuakultur,Aktif,S1,Unggul,2019,20,755,01:37.8,pertanian,
Universitas Airlangga,1004,46201,Biologi,Aktif,S1,Unggul,2019,24,360,01:15.0,mipa,
Universitas Airlangga,1004,45201,Fisika,Aktif,S1,Unggul,2019,19,371,01:19.5,mipa,
Universitas Airlangga,1004,74201,Ilmu Hukum,Aktif,S1,Unggul,2019,46,865,01:18.8,humaniora,
Universitas Airlangga,1004,47201,Kimia,Aktif,S1,Unggul,2019,22,368,01:16.7,mipa,
Universitas Airlangga,1004,44201,Matematika,Aktif,S1,Unggul,2019,20,434,01:21.7,mipa,
